"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6395","Frame DragandDrop","chromium","Tue May 20 16:50:41 IST 2025","passed","Tue May 20 16:50:47 IST 2025","","18_FrameDragandDrop.spec.js","",""
"","5050","Validate Radio button for automate","chromium","Tue May 20 16:50:23 IST 2025","passed","Tue May 20 16:50:28 IST 2025","","12_Radiobutton.spec.js","",""
"","4367","Test1","chromium","Tue May 20 16:50:48 IST 2025","passed","Tue May 20 16:50:53 IST 2025","","22_Reports.spec.js","",""
"","35119","Multi Selected Items","firefox","Tue May 20 16:52:39 IST 2025","broken","Tue May 20 16:53:14 IST 2025","","15_MultiSelectDropdown.spec.js","",""
"","9230","Page screenshot","firefox","Tue May 20 16:53:26 IST 2025","passed","Tue May 20 16:53:36 IST 2025","","21_ScreenshotPract.spec.js","",""
"","30601","Multi Select Dropdown","firefox","Tue May 20 16:52:39 IST 2025","broken","Tue May 20 16:53:09 IST 2025","","15_MultiSelectDropdown.spec.js","",""
"","21899","Login","chromium","Tue May 20 16:50:01 IST 2025","passed","Tue May 20 16:50:23 IST 2025","","03_Locators.spec.js","",""
"","2276","Full page screenshot","chromium","Tue May 20 16:50:43 IST 2025","passed","Tue May 20 16:50:45 IST 2025","","20_Screenshot.spec.js","",""
"","4494","Page Screenshot","webkit","Tue May 20 16:55:10 IST 2025","passed","Tue May 20 16:55:15 IST 2025","","20_Screenshot.spec.js","",""
"","18435","Builtin Locators","firefox","Tue May 20 16:51:10 IST 2025","passed","Tue May 20 16:51:28 IST 2025","","04_Builtin_Locators.spec.js","",""
"","4859","JS Prompt","webkit","Tue May 20 16:54:25 IST 2025","passed","Tue May 20 16:54:30 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","13669","JS Alert - Validate Confirm Test and Click OK","chromium","Tue May 20 16:50:01 IST 2025","passed","Tue May 20 16:50:15 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","9373","JS Prompt","firefox","Tue May 20 16:51:34 IST 2025","passed","Tue May 20 16:51:43 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","35189","Validate Radio button for facebook","firefox","Tue May 20 16:51:44 IST 2025","broken","Tue May 20 16:52:19 IST 2025","","12_Radiobutton.spec.js","",""
"","3177","Auto Suggest in google search","chromium","Tue May 20 16:50:40 IST 2025","passed","Tue May 20 16:50:43 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","4769","JS Alert - Validate Confirm Test and Click Cancel","webkit","Tue May 20 16:54:40 IST 2025","passed","Tue May 20 16:54:45 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","5342","Test1","webkit","Tue May 20 16:55:43 IST 2025","passed","Tue May 20 16:55:49 IST 2025","","22_Reports.spec.js","",""
"","4520","Test2","firefox","Tue May 20 16:53:38 IST 2025","passed","Tue May 20 16:53:43 IST 2025","","22_Reports.spec.js","",""
"","7280","Validate Username and password","chromium","Tue May 20 16:50:20 IST 2025","passed","Tue May 20 16:50:27 IST 2025","","10_PracticePopup.spec.js","",""
"","9855","PopUps Demo Playwrite","webkit","Tue May 20 16:54:27 IST 2025","passed","Tue May 20 16:54:37 IST 2025","","09_Popups.spec.js","",""
"","10422","Radio button","webkit","Tue May 20 16:54:37 IST 2025","passed","Tue May 20 16:54:47 IST 2025","","11_Radiobutton.spec.js","",""
"","6778","Multi Select Dropdown","chromium","Tue May 20 16:50:28 IST 2025","passed","Tue May 20 16:50:34 IST 2025","","15_MultiSelectDropdown.spec.js","",""
"","20858","Hidden Dropdown Test","firefox","Tue May 20 16:52:58 IST 2025","passed","Tue May 20 16:53:19 IST 2025","","17_HiddenDropdown.spec.js","",""
"","11175","Auto Suggest Dropdown","webkit","Tue May 20 16:54:47 IST 2025","passed","Tue May 20 16:54:59 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","30267","Validate Goodle search","webkit","Tue May 20 16:54:54 IST 2025","broken","Tue May 20 16:55:24 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","31796","Validate Goodle search","firefox","Tue May 20 16:52:30 IST 2025","broken","Tue May 20 16:53:02 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","4214","Test2","chromium","Tue May 20 16:50:52 IST 2025","passed","Tue May 20 16:50:57 IST 2025","","22_Reports.spec.js","",""
"","8908","Frame DragandDrop","firefox","Tue May 20 16:53:21 IST 2025","passed","Tue May 20 16:53:29 IST 2025","","18_FrameDragandDrop.spec.js","",""
"","7655","Validate Username and password","webkit","Tue May 20 16:54:30 IST 2025","passed","Tue May 20 16:54:38 IST 2025","","10_PracticePopup.spec.js","",""
"","3542","Full page screenshot","firefox","Tue May 20 16:53:23 IST 2025","passed","Tue May 20 16:53:26 IST 2025","","20_Screenshot.spec.js","",""
"","15894","Hidden Dropdown Test","chromium","Tue May 20 16:50:40 IST 2025","passed","Tue May 20 16:50:56 IST 2025","","17_HiddenDropdown.spec.js","",""
"","30214","Test Dropdown","firefox","Tue May 20 16:52:06 IST 2025","broken","Tue May 20 16:52:36 IST 2025","","14_Dropdown.spec.js","",""
"","13607","JS Alert - Validate Alert Test and Clik OK","chromium","Tue May 20 16:50:01 IST 2025","passed","Tue May 20 16:50:14 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
